"publicdesc";"groupdesc";"privatedesc"
"Widened sulci in alzheimer patients due to atrophy seen in several brain regions. The widening of sulci is presented in different sulci, including supracallosal, cingulate, marginal, parieto-occipital, anterior and posterior calcarine sulci, and Sylvian fissures. The widening of the sulci lead to an increased CSF volume.";"Fill in your group notes here.";"enlargement, volumetry, CSF, atrophy"
"Widened sulci in alzheimer patients due to atrophy seen in several brain regions. The widening of sulci is presented in different sulci, including supracallosal, cingulate, marginal, parieto-occipital, anterior and posterior calcarine sulci, and Sylvian fissures. The widening of the sulci lead to an increased CSF volume.";"Fill in your group notes here.";"enlargement, volumetry, CSF, atrophy"
"The third ventricle also dilates in alzheimer patients. The widening of the third ventricle is correlated with the choline acetyltransferase (ChAT) activity in the post-mortem frontal cortex and in the temporal cortex35.";"Fill in your group notes here.";"enlargement, volumetry, choline acetyltransferase (ChAT)"
"Together with the hippocampus, the amydala is on of the major sites of damage in Alzheimersâ disease. The amygdala is involved in emotional behaviour and also cognition during emotional changes in human. The role of the amygdala in memory function remains controversial. 
There is evidence that the amydala begins to atrophy earlier than hippocampus18, this is of importance for diagnosing AD in a very early stage. 

A reduction of 36% is found in the amygdale of AD patients, when looking at the size of the amygdala in relation to total intracranial volume, a reduction of 40% was found. The amount of atrophy depended on the mini-mental state 10. 

Some studies indicate that the accuracy of AD diagnosis increases by volumetry of amygdala-hippocampal complex (AHC) compared to only volumetric measurements of the hippocampus {Lehericy, 1994 23 /id";"Fill in your group notes here.";"atrophy, volumetry, decreased memory function, diagnostics, cerbral atrophy"
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"MRI pictures of sections of the brain of mice with Alzheimer disease";"Fill in your group notes here.";"Fill in your private notes here."
"Tau";"Fill in your group notes here.";"Fill in your private notes here."
"Beta Secretase";"Fill in your group notes here.";"Fill in your private notes here."
"Amyloid-beta 40";"Fill in your group notes here.";"Fill in your private notes here."
"Decreased BFP in Alzheimer's disease. This is marked with the blue color.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference: Alpini et al. The Pathobiology of Biliary Epithelia. HEPATOLOGY 2002;35: 1256-1268.

Fig. 2. Representative micrograph of an isolated intrahepatic bile duct. There is a good preservation of the epithelial layer with intact
tight junctions (arrows) and numerous microvilli projecting into the lumen (L). N, nucleus; M, mitochondria; G, Golgi area.";"Fill in your group notes here.";"Fill in your private notes here."
"MreB-GFP";"Fill in your group notes here.";"Fill in your private notes here."
"MR signal changes and histopathology of AD. AB Note the cortical Hyperintensity in the left medial temporal lobe (white arrows) and insula cortex (black arrows) bilaterally. These signal abnormalities possibly reflect the cortical histopathology of AD. Note also moderate PVH and mild-to-moderate SCL. C: Neurofibrillary tangles (elongated or triangular brown staining structures) and senile plaques (irregular or star-burst brownstaining Structures) in the subiculum (retrocommissural hippocampus) in AD subject labelad with an antibody to TAU proteins. First described by Alzheimer in 1907 (93) neurofibrillary tangles are paired helical and straight filaments (91). Tau proteins -the low molecular weight microtubule-associated proteins of the neuronal cytoskeleton- are building blocks of paired helical filaments. D: Antiserum to beta amyloid protein labels walls of numerous blood vessels as well as senile plaques one of wich is seen as the irregular patch-like brown staining structure in the bottom of the figure. E: Hirano bodies in the hippocampus. The right half of the section is stained with the standard H E dyes. These intraneuronal rod-shaped inclusions are easily seen on the immunostained section (left using antibody to actin and neurofilaments) as brown rod-like structures but they are less evident when stained by routine H E technique Hirano bodies are eosinophillic and more subtle. Hirano bodies primarily arise as a consequence of perturbations of the microfilament system (ie. actin tropomyosin vinculin and aplha actinin).";"Fill in your group notes here.";"Fill in your private notes here."
"Volume decrease of the Entorhinal (EC) and Perirhnal PRC cortex.";"Fill in your group notes here.";"Fill in your private notes here."
"Three-dimensional white matter hyperintensity (WMH) frequency maps for each cognitive group displayed in two separate orientations for enhanced visualization. (A) Cognitively normal older individuals (CN); (C) Alzheimer disease (AD). Orange area indicates voxels containing WMH with a frequency of 10% or higher.";"Fill in your group notes here.";"Fill in your private notes here."
"Overview of human brains with Alzheimer's disease";"Fill in your group notes here.";"Fill in your private notes here."
"Peri and entorhinal atrophy";"Fill in your group notes here.";"Fill in your private notes here."
"Atrophy of enthorial cortex";"Fill in your group notes here.";"Fill in your private notes here."
"Atrophy amygdala- hippocampus- and enthorhinal cortex with consequent enlargement of temporal horns";"Fill in your group notes here.";"Fill in your private notes here."
"Hippocampal atrophy";"Fill in your group notes here.";"Fill in your private notes here."
"Enlargement of the central sulcus";"Fill in your group notes here.";"Fill in your private notes here."
"Pariental regions";"Fill in your group notes here.";"Fill in your private notes here."
"Central sulcus enlargement.";"Fill in your group notes here.";"Fill in your private notes here."
"Pariental region is more atrophic then frontal region.";"Fill in your group notes here.";"Fill in your private notes here."
"Enlargement of the temporal horn.";"Fill in your group notes here.";"Fill in your private notes here."
"3D appearance of the ventricles in a control subject (A) subject with MCI (B) and a patient with AD (C). The temporal horn of the lateral ventricle is larger in the patient with AD compared with the control subject or patient with MCI.";"Fill in your group notes here.";"Fill in your private notes here."
"Widened sulci in alzheimer patients due to atrophy seen in several brain regions. The widening of sulci is presented in different sulci including supracallosal-cingulate marginal - parieto-occipital - anterior and posterior calcarine sulci and Sylvian fissures. The widening of the sulci lead to an increased CSF volume.";"Fill in your group notes here.";"enlargement - volumetry - CSF - atrophy"
"Entorhinal cortex (ERC)(right) and hippocampal(left) volume measurement in MP-RAGE images. (A) normal cognition(NC); (B) mild cognitive impairment (MCI); (C) Alzheimer's disease(AD).";"Fill in your group notes here.";"Fill in your private notes here."
"The third ventricle also dilates in alzheimer patients. The widening of the third ventricle is correlated with the choline acetyltransferase (ChAT) activity in the post-mortem frontal cortex and in the temporal cortex35.";"Fill in your group notes here.";"enlargement - volumetry - choline acetyltransferase (ChAT)"
"Together with the hippocampus the amygdala is of the major sites of damage in Alzheimers disease. The amygdala is involved in emotional behaviour and also cognition during emotional changes in human. The role of the amygdala in memory function remains controversial. There is evidence that the amydala begins to atrophy earlier than hippocampus18 this is of importance for diagnosing AD in a very early stage. A reduction of 36% is found in the amygdale of AD patients when looking at the size of the amygdala in relation to total intracranial volume a reduction of 40% was found. The amount of atrophy depended on the mini-mental state 10. Some studies indicate that the accuracy of AD diagnosis increases by volumetry of amygdala-hippocampal complex (AHC) compared to only volumetric measurements of the hippocampus {Lehericy 1994 23 id";"Fill in your group notes here.";"Fill in your private notes here."
"References: Alpini et al. The Pathobiology of Biliary Epithelia. HEPATOLOGY 2002;35:
1256-1268.
Figure 1. Six computer-generated cholangiographic views of a normal biliary tree, based on contiguous 2-mm slices imaged with electronbeam
computed tomography. In this example, the biliary tree is viewed at 70Â° increments around the cephalocaudal axis (voxel 0.62-1 mm2).";"Fill in your group notes here.";"Fill in your private notes here."
"MreB-GFP";"Fill in your group notes here.";"Fill in your private notes here."
"Reference: Alpini et al. The Pathobiology of Biliary Epithelia. HEPATOLOGY 2002;35: 1256-1268.

Fig. 3. Schematic representation of the secretory and proliferative heterogeneity of the rat intrahepatic biliary epithelium. The cartoon shows that the major anatomical sites of secretin-stimulated choleresis are restricted to large (but not small) cholangiocytes in large bile ducts. The cartoon also shows that large ducts selectively proliferate in response to BDL following acute CCl4 administration. Apoptosis was observed only in large cholangiocytes and this was accompanied by loss of function with decreased proliferation and secretion in large cholangiocytes and loss of the choleretic effect of secretin. Concomitant with loss of large duct functions, small cholangiocytes proliferate de novo and respond to secretin to compensate for loss of function of large ducts after CCl4 administration.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference: 
Bosch et al. The Sphincter of Oddi. Dig Dis Sci (2007) 52:1211â1218

Figure 2: 
Blood supply to the region of the sphincter of Oddi";"Fill in your group notes here.";"Fill in your private notes here."
"Reference: 
Bosch et al. The Sphincter of Oddi. Dig Dis Sci (2007) 52:1211â1218.

Figure 1:
Anatomy of the papilla with the pancreatic duct (PD) and the common bile duct (CBD) fused as they follow a variable course through the submucosal layer of the duodenum to form the common channel.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 8D: 
Distribution of CPS mRNA in the liver of hormone-treated mice. CPS mRNA expression is up-regulated and distributed homogeneously.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 3E:
Distribution of CPS mRNA in serial liver sections of an adult, 48-hour-starved mouse injected with 3 mg dexamethasone phosphate/kg body weight 16 hours before killing.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

FIigure 3B:
Distribution of CPS mRNA in the livers of an adult, fed mouse.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 8A:
Distribution of CPS mRNA in the liver of control mice. CPS mRNA is expressed in a gradient from the portal to the central vein.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 8C:
Distribution of GS mRNA in the liver of control mice.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"MreB-GFP";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Christoffels. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 8F:
Expression of GS in serial sections of the liver of a dexamethasone-treated mouse.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 9C:
Expression of GS in serial sections of
the liver of a dexamethasone-treated GRE/RPII mouse. GS mRNA identifies the hepatocytes surrounding the central vein.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 9B:
Expression of GS in serial sections of the liver of a dexamethasone-treated GRU/RPII mouse. GS mRNA identifies the hepatocytes surrounding the central vein.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 9A:
Expression of GS in serial sections of the liver of an untreated GRU/RPII mouse. GS mRNA identifies the hepatocytes surrounding the central vein.";"Fill in your group notes here.";"Fill in your private notes here."
"Regions of interest used for plaque counting.
The scale bar represents 500 um.";"Fill in your group notes here.";"Fill in your private notes here."
"Diameter of plaques visible on in vivo (left) and ex vivo (right) magnetic resonance microimaging (MRMI) by age. The ordinate plots the maximum (closed triangle), minimum (closed square), median (closed circle), 25th percentile (long dash), and 75th percentile (short dash) of the plaque diameter (mm) measured in the corresponding Thio-S-stained histological sections. The values of each maximum, minimum, and median are noted next to each symbol. The abscissa plots the age of the APP/PS1 mice in months. The number of plaques measured for each mouse is noted above the abscissa.";"Fill in your group notes here.";"Fill in your private notes here."
"The neurochemical changes in the brain of APP/PS1 mice with progression of the disease. The decrease in concentration of N-acetylaspartate (NAA) and glutamate (Glu) and a dramatic increase in the concentration of myoinositol (mIns) are observed with disease progression in a transgenic mouse model of Alzheimerâs disease. The spectra were obtained from the voxel placed in the cortex and the hippocampus.";"Fill in your group notes here.";"Fill in your private notes here."
"Domain structure of tau isoforms and constructs. Tau40 is the longest tau isoform in the human CNS, occurring mostly in axons (Goedert et al., 1989). It consists of 441 amino acid residues and can be divided into an NH2-terminal projection domain and a COOH-terminal microtubule binding domain containing four imperfect repeats (R1ÃR4) and basic proline-rich sequences on either side that act as microtubule targeting domains (shaded dark, P1, and P2). The repeats show high homology between tau, MAP2, and MAP4. The shaded NH2-terminal inserts and repeat two can be alternatively spliced, resulting in six different tau isoforms. The predominantly embryonic isoform tau23 lacks all three inserts (352 residues). Tau constructs K12 and K10 are derived from tau23, they contain three repeats plus either a COOHterminal flanking region (K12) or the whole COOH-terminal tail (K10). K35 contains three repeats and the basic proline-rich regions on either side, including the COOH-terminal tail. K23 contains all of tau23 except the repeats.";"Fill in your group notes here.";"Fill in your private notes here."
"Disruption of microtubules by nocodazole leads to a random distribution of mitochondria in tau-stable CHO cells. Taustable cells (a and b) and mock-transfected CHO cells (c and d). Cells were treated with nocodazole to disrupt the MT cytoskeleton, fixed with methanol, and immunolabeled with antibodies against tubulin (b and d). In both cell lines, mitochondria, visualized by addition of MitoTrackerÂª Green before fixation (a and c), are now visible throughout the entire cytoplasm even in the cell periphery, suggesting the existence of an intact
MT network as a prerequisite for mitochondrial
clustering. Bar, 20 mm.";"Fill in your group notes here.";"Fill in your private notes here."
"Transferrin recycling is retarded by tau overexpression.
Cells were seeded on cover slips and preincubated with
TMR-labeled transferrin in serum-free medium for 2 h. Excess
transferrin was removed and tau-stable and mock-transfected
cells were fixed in methanol. Residual transferrin fluorescence
was then quantitated and plotted (a). Note that, at early time
points (7 min), the transferrin fluorescence in tau-stable cells is
decreased by z10%, whereas in control cells 50% of transferrin
is exocytosed in the same time interval. 300 cells were quantitated
per time point and cell line. (b) Time course of the exocytosis of
transferrin after equilibration of tau-stable and mock-transfected
cells with fluorescently labeled transferrin. A significant decrease
of exocytosed transferrin can be seen 5Ã10 min after start of the
experiment in tau-stable compared with control cells. Fluorescent
signals were normalized to total cell numbers in each experiment.
Data represent averages of four independent experiments.";"Fill in your group notes here.";"Fill in your private notes here."
"The ratio between plus- and minus-endÃdirected transport of mitochondria is altered by tau overexpression. Tau-stable and control cells were treated with nocodazole to disrupt the microtubule cytoskeleton and to achieve an even distribution of mitochondria in both cell lines. The drug was washed out after 2 h of incubation and mitochondria were stained with MitoTrackerÂª Red. Translocations of the organelles were then recorded for 2 min with a time interval of 1 s. The direction of movement was regarded as plus-end directed when the organelles were transported to the periphery (1), minus- end directed when transport was towards the nucleus (2), and neutral (2/1) when movement was vertical to the axis between
nucleus and periphery of the cells. Note that the relative number of transported mitochondria is significantly lower for all three groups in the tau-stable cell line (P , 0.0001, two tailed StudentÃs t test). However, in tau-stable cells, the plus-endÃ directed movement is significantly more affected (z10-fold) than the reverse direction (2-fold). This leads to the phenotype of mitochondrial clustering. At least 40 cells were analyzed for quantitation, the total number of mitochondria ranged between 100 and 700 in both cell lines.";"Fill in your group notes here.";"Fill in your private notes here."
"The ER organization is altered in CHO cells overexpressing tau. Tau40-stable (a and b) and mocktransfected CHO cells (c and d) were stained with DiOC6(3) to visualize the ER. In  tau-stable cells, the ER is less branched and does not reach the cell periphery, while in control cells the ER extends almost to the plasma membrane and displays a more complex structure.Note that, although the extension of the ER of the smaller cell in Fig. 11 b seems
to be less effected when compared with the larger cells, the branching and complexity of the endoplasmic reticulum is significantly reduced when compared with mocktransfected cells in c and d. The cell periphery is outlined for clarity. Bar, 10 mm.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 4:
Cuboidal string within the parenchyma (outlined by arrows), containing a lumen but lacking a continuous connective tissue sheath. (Original magnification x1,000.)";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3A:
Conventional portal triad, containing 1 bile duct (BD1, arrowhead), 3 hepatic arteries (*; top right, middle, and lower left), 1 portal vein, and 1 probable canal of Hering (BD2, arrow). Magnification x400.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3B:
Conventional portal triad containing 1 bile duct, 1 hepatic artery, and 3 portal veins. Magnification x1,000.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3C:
Portal tracts with bile duct (BD1) and hepatic artery. Magnifications x1,000.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3D:
Portal tracts with bile duct (BD1) and portal vein. Magnification x1,000.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3E:
Portal tracts with hepatic artery and portal vein. Magnifications x1,000.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3F:
Portal tract with two hepatic arteries. (G) Magnification x1,000.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3G:
Solitary bile duct (BD1). Magnification x1,000.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3H:
Terminal hepatic vein. Magnification x400.";"Fill in your group notes here.";"Fill in your private notes here."
"MR spectroscopic findings in 78-year-old woman with probable Alzheimerâs
disease.
A, Coronal T2-weighted fast spin-echo image shows severe cortical atrophy in both
hippocampi.
B, Axial T2-weighted spin-echo image (stimulated echo acquisition mode, TR/TE,
1,500/30; average of 128 scans; mixing time, 13.7 msec) shows bitemporal volume
loss. Voxel for MR spectroscopy has been drawn on parietal lobe and posterior cingulate
gyrus.";"Fill in your group notes here.";"Fill in your private notes here."
"Reference:
Gebhart et al. Hepatocellular expression of glutamine synthetase: An indicator of morphogen actions as master regulators of zonation in adult liver. Progress in Histochemistry and Cytochemistry 41 (2007) 201â266

Figure 10A. 
Section of mouse liver subjected to adenoviral-mediated expression of a dominant stable mutant of b-catenin immunohistochemically stained for b-catenin. In the periportal region, hepatocytes intensively staining for b-catenin at plasma
membranes, in the cytoplasm and in the nuclei indicating high expression of the mutated for of
b-catenin. Hepatocytes in the midzonal area rarely show such staining, while pericentral
hepatocytes show only the normal weak membranous staining for b-catenin. 
For details of the mice used herein see Harada et al. (2002). PV, portal vein; CV, central vein
(magnification: x60).";"Fill in your group notes here.";"Fill in your private notes here."
