"keywords";"bigrams";"trigrams"
"fddnp, fene, 1.2, 7.4, bound, pbs, binding, fibrils, fluorescence";"1.2 nM, pH 7.4, in PBS, added to, moles of, of bound, -- Eric, -Amyloid Plaques, 6-Dialkylamino-2- Naphthylethylidene, Andrej Petric,Greg";"-- Eric D., 6-Dialkylamino-2- Naphthylethylidene Derivatives, Andrej Petric,Greg M., Disease -- Eric"
"vivo, bar, histological, panels, scale, spatially, um., 200, 26-month-old";"Scale bar, in vivo, ex vivo, 26-month-old mouse, Plaque sharpness, Spatially matched, The numbered, Three-way correlation, approaches but, are full";"26-month-old mouse with, The numbered arrows, approaches but is, are full field"
"significant, blood, brain., color, colors, correlations, dark, decrease, decreased";"Examination score., Mini-Mental State, State Examination, Yellow colors, as measured, between decreased, blood flow, brain. Yellow, color on, correlations between";"Mini-Mental State Examination, State Examination score., as measured by, between decreased regional"
"amyloid, diffuse, distortions, mice, neuronal, pass, pdapp, process, scalebar";"Neuronal process, PDAPP mice, amyloid show, diffuse amyloid, from PDAPP, mice that, no significant, pass through, process from, show no";"Neuronal process from, PDAPP mice that, amyloid show no, diffuse amyloid show"
"";"This is, is just, just to, to test...";"This is just, is just to, just to test..."
"ck-19, liver, positive, 2002., 22-week, bile, biliary, ck-19., crawford.";"of the, 2002. Figure, 22-week fetus, Biliary Tree., CK-19. 22-week, Crawford. Development, Figure 5F, Intrahepatic Biliary, Liver Disease, Magnification x200";"2002. Figure 5F, Biliary Tree. Seminars, CK-19. 22-week fetus, Intrahepatic Biliary Tree."
"plaque, composite, enamel, resin, 24-h, 4-h, 8-h, 600, confocal";"resin composite, plaque on, on resin, on enamel, Confocal laser, laser scanning, microscopic images, scanning microscopic, surfaces at, 4-h plaque";"Confocal laser scanning, laser scanning microscopic, scanning microscopic images, at the 4-"
"bile, liver, 2002., biliary, ck-19, ck-19., crawford., developing, development";"of the, 2002. Figure, Biliary Tree., CK-19. Term, Crawford. Development, Figure 5E, Intrahepatic Biliary, Liver Disease, Magnification x40, Seminars in";"2002. Figure 5E, Biliary Tree. Seminars, CK-19. Term infant, Intrahepatic Biliary Tree."
"animation, cvp";"Animation of, made with, the CVP, with the";"made with the, with the CVP"
"b-catenin., expression, hepatocytes, staining, al., b-catenin, show, vein, 10a.";"et al., expression of, in the, 10A. Section, An indicator, Figure 10A., For details, actions as, adult liver., area rarely";"Figure 10A. Section, actions as master, adult liver. Progress, as master regulators"
"delusions, group, autobiographic, brain, comparison, coronal, history, image, right";"but no, no history, delusions but, history of, of autobiographic, Brodmann'sareas indicated, Cr SADs, HMPAO SPECT, Positionsof sliceswere, SPECT images";"HMPAO SPECT images, Sagittal,coronal,and transversesectionsof normalized, bottom right corner, hypo perfusion present"
"plaque, process, dense-core, neuronal, appears, around, avoiding, bar, bending";"Scale bar, Two examples, and avoiding, appears to, be deflected, bending around, close and, deflected by, distal example, imaged in";"appears to be, be deflected by, close and avoiding, imaged in vivo"
"midgut, area, autophagy, basal, bordering, calliphora, case, cell, cells";"Calliphora erythrocephala., Electron micrograph, In this, basal area, case they, cell organelles, contains mitochondria, cytoplasm contains, early developing, endoplasmic reticulum";"In this particular, cytoplasm contains mitochondria, fly Calliphora erythrocephala., gut lumen. They"
"interest, ac-pc, commissure, lobe, matter, regions, right, row, white";"mm above, of interest, lobe white, white matter, interest in, regions of, mm below, Also represented, B0 images., anisotropy images";"Also represented are, B0 images. Bottom, corresponding fractional anisotropy, fractional anisotropy images"
"apoe, immunoreactivity, deposit, green, one, plaque, represented, represents, diffuse";"represented by, the same, diffuse deposit, is represented, typical plaque, Ab and, and ApoE, immunoreactivity is, Ab. Barss25, Double immunofluorescent-stained";"Double immunofluorescent-stained section, FITC. Various types, always coexisted with, around Ab. Barss25"
"genomic";"genomic integration";""
"frequency, wmh, alzheimer, area, cognitive, cognitively, containing, disease, displayed";"Alzheimer disease, Cognitively normal, Orange area, Three-dimensional white, area indicates, cognitive group, displayed in, each cognitive, enhanced visualization., group displayed";"Cognitively normal older, Orange area indicates, Three-dimensional white matter, area indicates voxels"
"";"Beta Secretase";""
"50s";"50S model, Pojection of, of the, the 50S";"Pojection of the, of the 50S, the 50S model"
"images, normal, subject, alzheimer, anatomical, axial, blood, bottom, disease";"Axial blood, The anatomical, are shown, blood flow, bottom four, for spatial, four rows, from the, on top, patients with";"Axial blood flow, are shown on, bottom four rows, for spatial reference"
"imaging, a,b, alzheimer, amyloid-b, developed, disease., fluorescence, fluorine, mice";"AD model, Alzheimer disease., In vivo, amyloid-B plaques, and fluorine, by near-infrared, developed probes, fluorine MRI, in AD, mice using";"AD model mice, amyloid-B plaques in, and fluorine MRI, by near-infrared fluorescence"
"";"";""
"left, contrast, controls, cortex, inferior, maps, parietal, patients, prefrontal";"AD patients, and right, Axial slices, Key structures, SPM2. Key, Statistical parametric, T1-weighted templates, The bottom, activations for, activity was";"SPM2. Key structures, Statistical parametric maps, T1-weighted templates provided, The bottom of"
"analyzed, asp421, bars, ca1, characteristic, contain, dystrophic, features, forming";"of AD, CA1 hippocampal, are indicated., at Asp421, characteristic neurofibrillar, contain tau, dystrophic neurites, forming neuritic, hallmark pathologic, hippocampal region";"CA1 hippocampal region, characteristic neurofibrillar pathologies, contain tau truncated, dystrophic neurites forming"
"concentration, disease., progression, alzheimer, app/ps1, brain, changes, cortex, decrease";"disease. The, concentration of, APP/PS1 mice, are observed, dramatic increase, mouse model, neurochemical changes, obtained from, spectra were, transgenic mouse";"spectra were obtained, transgenic mouse model, were obtained from, APP/PS1 mice with"
"white, lobe, matter, bars, adults, older, anisotropy, black, comparison";"lobe white, white matter, older adults, Comparison of, and demented, anisotropy in, between young, in the, lobar regions, of anisotropy";"Comparison of anisotropy, anisotropy in the, in the lobar, lobar regions between"
"compared, cortex, entorhinal, alzheimer, hippocampal, measurements, patients, accuracy, atrophy";"compared to, cognitive impairment, diagnostic accuracy, some studies, studies showed, entorhinal cortex, Alzheimer patients, of the, 13,15. However, Different experiments";"Different experiments show, ERC damage result, In clinical practice, an earlier stage"
"hippocampal, measurement, t1-weighted, boundary, cognitive, coronal, hippocampus., image, normal";"Boundary used, Unenhanced coronal, hippocampus. Boundary, is outlined, measurement is, normal volume, relatively normal, shows relatively, used for, T1-weighted image";"3D spoiled gradient-recalled, 49-month follow-up period., Reprinted with permission, anterior than that"
"atrophy, correct, found, temporal, alzheimer, cerebral, head, parts, size";"correct for, cerebral atrophy, head size, can be, AD groups7., Although global, Mu et, Total intracranial, WBV SCF, affected worse";"AD groups7. Therefore, Mu et al5, affected worse than, an appropriate parameter"
"expression, 1180-1192., 1999, christoffels., development, dexamethasone-treated, figure, gene, gradients";"1180-1192. Figure, Development and, Figure 8F, Liver. HEPATOLOGY, Mechanistic Model, Model for, Portocentral Gradients, and Maintenance, dexamethasone-treated mouse, serial sections";"1180-1192. Figure 8F, Development and Maintenance, Mechanistic Model for, GS in serial"
"hmscs, normal";"normal hMSCs, of normal, section of, vertical section";"of normal hMSCs, section of normal, vertical section of"
"reference, 1998, 323-331., adult, al., biopsy, crawford, figure, hepatic";"323-331. Figure, Adult Human, Crawford et, Figure 3H, Human Liver, Liver Biopsy, Magnification x400, Normal Adult, Standard. HEPATOLOGY, Terminal hepatic";"323-331. Figure 3H, Adult Human Liver, Crawford et al., Human Liver Biopsy"
"sulci, widening, alzheimer, anterior, atrophy, brain, calcarine, csf, different";"The widening, widening of, CSF volume, Sylvian fissures., alzheimer patients, an increased, atrophy seen, brain regions., including supracallosal-cingulate, increased CSF";"alzheimer patients due, an increased CSF, including supracallosal-cingulate marginal, increased CSF volume"
"tau, distribution, mitochondrial, cells, cells., cho, construct, constructs, different";"construct lacking, in CHO, distribution in, different tau, tau construct, tau constructs, Human tau23, Mitochondria were, after paraformaldehyde, antibody K9JA";"Mitochondria were stained, after paraformaldehyde fixation., by directly interacting, did not alter"
"";"Hippocampal atrophy";""
"cells";"CHO cells, Centriols of, of CHO";"Centriols of CHO, of CHO cells"
"atrophy";"Peri and, and entorhinal, entorhinal atrophy";"Peri and entorhinal, and entorhinal atrophy"
"1256-1268., 2002, al., alpini, area, arrows, bile, biliary, duct.";"1256-1268. Fig., 2. Representative, Alpini et, Biliary Epithelia., Epithelia. HEPATOLOGY, Fig. 2., Golgi area, Representative micrograph, The Pathobiology, There is";"1256-1268. Fig. 2., 2. Representative micrograph, Alpini et al., Biliary Epithelia. HEPATOLOGY"
"plaque, composite, enamel, resin, 24-h, 4-h, 8-h, 600, confocal";"resin composite, plaque on, on resin, on enamel, Confocal laser, laser scanning, microscopic images, scanning microscopic, surfaces at, 4-h plaque";"Confocal laser scanning, laser scanning microscopic, scanning microscopic images, at the 4-"
"alzheimer, cognition, cognitive, cortex, disease, entorhinal, erc, hippocampal, images.";"'s disease, Alzheimer 's, Entorhinal cortex, MP-RAGE images., and hippocampal, cognitive impairment, in MP-RAGE, measurement in, mild cognitive, normal cognition";"Alzheimer 's disease, in MP-RAGE images., measurement in MP-RAGE, mild cognitive impairment"
"cells, cell, cho, mitochondria, nocodazole, addition, antibodies, bar, cells.";"Cells were, Green before, In both, against tubulin, an intact, antibodies against, are now, before fixation, cells. Taustable, clustering. Bar";"Cells were treated, Green before fixation, antibodies against tubulin, are now visible"
"cerebellar, senile, fibrillar, plaque, van, 1c7, a.m., accumulation, annemieke";"cerebellar senile, fibrillar cerebellar, senile plaque, -- Jack, A.M. Rensinka, AD cerebellum, Annemieke A.M., Cathy N., Guido David, Immunohistochemical staining";"AD cerebellum for, Annemieke A.M. Rensinka, Cathy N. Maass, M.W. de Waal"
"ductal, liver, portal, 18-week, 2002., artery, biliary, center, ck-19.";"of the, 18-week fetus, 2002. Figure, Biliary Tree., CK-19. 18-week, Crawford. Development, Figure 5C, Intrahepatic Biliary, Liver Disease, Magnification x40";"2002. Figure 5C, Biliary Tree. Seminars, CK-19. 18-week fetus, Intrahepatic Biliary Tree."
"symbols, due, half-filled, individuals, patients, pedigree, strokes, upper, a692g";"due to, half-filled symbols, A692G substitution, APP A692G, Roman numbers, absent here, also diagnosed, asterisk indicates, both Alzheimer, cerebral hemorrhage.";"APP A692G substitution, cerebral hemorrhage. Few, confidentiality. Roman numbers, disguised for reasons"
"amygdala-, atrophy, consequent, cortex, enlargement, enthorhinal, hippocampus-";"Atrophy amygdala-, amygdala- hippocampus-, and enthorhinal, consequent enlargement, cortex with, enlargement of, enthorhinal cortex, hippocampus- and, of temporal, temporal horns";"Atrophy amygdala- hippocampus-, amygdala- hippocampus- and, and enthorhinal cortex, consequent enlargement of"
"fluorescence, images, probes, sps, -amyloid, 6-dialkylamino-2-, agdeppa, alzheimer, andrej";"-- Eric, -Amyloid Plaques, 6-Dialkylamino-2- Naphthylethylidene, AD brain, Andrej Petric,Greg, Binding Characteristics, Confocal fluorescence, D. Agdeppa, Derivatives as, Disease --";"-- Eric D., 6-Dialkylamino-2- Naphthylethylidene Derivatives, AD brain specimens, Andrej Petric,Greg M."
"cerebellar, senile, fibrillar, plaque, van, 2e9, a.m., accumulation, annemieke";"cerebellar senile, fibrillar cerebellar, senile plaque, -- Jack, A.M. Rensinka, AD cerebellum, Annemieke A.M., Cathy N., Guido David, Immunohistochemical staining";"AD cerebellum for, Annemieke A.M. Rensinka, Cathy N. Maass, M.W. de Waal"
"tau, assembly, filaments, measured, proteins, recombinant, truncated, 256, 421";"WT or, or truncated, recombinant WT, tau filaments, tau proteins, Asp421 increases, Kinetic analysis, Scattering intensities, Tau polymerization, The data";"Scattering intensities were, Tau polymerization was, at Asp421 increases, laser light scattering."
"atrophy";"Atrophy of, enthorial cortex, of enthorial";"Atrophy of enthorial, of enthorial cortex"
"nuclear, cell., cho, envelop, euchromatin, heterochromatin, mitochondria, nucleosome, pore";"CHO cell., Euchromatin NE, Heterochromatin EC, Ribosome HC, cell. NL, Nuclear Envelop, Nuclear Pore";"CHO cell. NL"
"central";"Central sulcus, sulcus enlargement";"Central sulcus enlargement"
"aspergillus, conidia";"Conidia van, aspergillus niger, van aspergillus";"Conidia van aspergillus, van aspergillus niger"
"brain, fluorescence, micrograph, mouse, ransgenic, section";"Fluorescence micrograph, brain stained, mouse brain, ransgenic mouse, stained with, with thioflavin-S, micrograph of, of ransgenic, section of";"brain stained with, mouse brain stained, ransgenic mouse brain, stained with thioflavin-S"
"50s, image";"50s ribosome, Image of, Real Image, of 50s";"Image of 50s, Real Image of, of 50s ribosome"
"values, areas, brain, cerebellum, clearance, cortex, data, entry, frontal";"brain entry, subcortical white, white matter, in cerebellum, and clearance, entry and, 60-minute time, C. Asterisks, Error bars, PIB is";"60-minute time period, PIB is differentially, are too small, brain. Standardized uptake"
"image, images, 3d-ssp, 70-year-old, abnormal, arrow, arrows, atrophic, bilateral";"MR image, in the, 70-year-old female, MMSE score, Z-score images, abnormal pattern, and posterior, bilateral hypoperfusion, cingulate gyri, clearly atrophic";"and posterior cingulate, lobes and posterior, parietotemporal lobes and, posterior cingulate gyri"
"fill";"Fill in, in your, notes here, public notes, your public";"Fill in your, in your public, public notes here, your public notes"
"enlargement";"Enlargement of, of the, temporal horn, the temporal";"Enlargement of the, of the temporal, the temporal horn"
"images, coded, colour, arrow, column, green, level, light, longitudinal";"colour coded, coded LI, level of, superior longitudinal, at the, in the, of the, the level, T2 weighted, aged matched";"aged matched control, an aged matched, from an aged, patient with probable"
"alzheimer, percentage, perirhinal, 19., cortex, specificity, 21-42, 22-24, 62-81";"perirhinal cortex, in alzheimer, Alzheimer patiens., Different experiments, The difference, Volumetric measurements, be found, between left, can be, cognitive impairment";"Alzheimer patiens. Different, Different experiments show, can be found, differs between left"
"filaments, htau, dendrites, abc, dendrite, inset, mts, note, shown";"htau filaments, plasma membrane, of the, Note that, an ABC, days of, distal dendrites, tau filaments, hard fixed, similar to";"396-404. Arrow indicates, cellular components such, conventional EM analysis, enhanced green fluorescent"
"";"";""
"kunga, panel, -aggregate-specific, -amyloid, 11c, 11c-labeled, agents, alan, alzheimer";"-- Masahiro, -aggregate-specific PET, -amyloid deposits, 11C-labeled stilbene, Alan Wilsonc, Clear differences, David Westawayd, Hank F., In vitro, Jose Nobregac";"-- Masahiro Onoa, -aggregate-specific PET imaging, -amyloid deposits with, 11C-labeled stilbene derivatives"
"apparatus, body, cell., cho, golgi, mitochondria";"CHO Cell., Golgi Apparatus, Multivescular Body, Nucleus MV";""
"brain, left, activation, control, gyrus, parahippocampal, volunteers, .05, 15/7/1";"control volunteers, parahippocampal gyrus, in the, 3D gradient-echo, T1-weighted sequence, The same, after application, black areas, first task, interest analysis";"The same effect, transverse sections showing, T1-weighted sequence with, and transverse sections"
"liver, 18-week, 2002., biliary, circumferential, ck-19, ck-19., crawford., developing";"of the, 18-week fetus, 2002. Figure, Biliary Tree., CK-19 immunostaining, CK-19. 18-week, Crawford. Development, Figure 5B, Intrahepatic Biliary, Liver Disease";"2002. Figure 5B, Biliary Tree. Seminars, CK-19. 18-week fetus, Intrahepatic Biliary Tree."
"";"";""
"immunostained, indicated, plaques, 200, antibodies, antibody, apoe, arrowheads., arrows.bars";"plaques were, were immunostained, indicated by, AD brain., Ab and, ApoE antibodies, Mirror-image sections, and ApoE, arrowheads. but, both Ab";"AD brain. Most, Ab and ApoE, Mirror-image sections from, and ApoE antibodies"
"cortex, decrease, entorhinal, perirhnal";"PRC cortex, Perirhnal PRC, Volume decrease, and Perirhnal, decrease of, of the, the Entorhinal";"Perirhnal PRC cortex, Volume decrease of, and Perirhnal PRC, decrease of the"
"reference, 1998, 323-331., adult, al., arrows, biopsy, connective, containing";"323-331. Figure, Adult Human, Crawford et, Cuboidal string, Human Liver, Liver Biopsy, Normal Adult, Original magnification, Standard. HEPATOLOGY, The Normal";"Adult Human Liver, Crawford et al., Cuboidal string within, Human Liver Biopsy"
"gfap, mac1, data, activation, activation., area, assess, dsp4-treated, glial";"data is, is shown, to assess, for GFAP, 0.05 unpaired, DSP4 on, Frontal Cortex, H6 mice, Quantitative analysis, Size bars";"0.05 unpaired T-test., H6 mice brains, T-test. Size bars, antibodies directed against"
"sulci, widening, alzheimer, anterior, atrophy, brain, calcarine, cingulate, csf";"The widening, widening of, CSF volume, Sylvian fissures., alzheimer patients, an increased, atrophy seen, brain regions., including supracallosal, increased CSF";"alzheimer patients due, an increased CSF, increased CSF volume, several brain regions."
"app, fragments, c-terminal, processing, -sheets, amyloid, apps, c83, c99.";"C-terminal fragments, the C-terminal, -sheets that, C99. Further, Further y-secretase, amyloid fibrils, can give, cleaved by, fibrils present, give rise";"-sheets that can, C99. Further y-secretase, amyloid fibrils present, can give rise"
"dynamitin, antibody, cells, mitochondria, tau-stable, transfected, 50-1, antidynamitin, arrowheads";"transfected with, Note that, antidynamitin 50-1, began to, clustering near, disperse again, dynactin complex., mitochondria. Tau-stable, neighboring tau-stable, overexpression restores";"began to disperse, to disperse again, typical clustering near, Dynamitin overexpression restores"
"alzheimer, brain, disease, mice, mri";"Alzheimer disease, MRI pictures, mice with, the brain, with Alzheimer, brain of, of mice, of sections, of the, pictures of";"mice with Alzheimer, with Alzheimer disease, MRI pictures of, brain of mice"
"significant, blood, brain., color, colors, control, dark, decreases, flow";"Yellow colors, and dark, blood flow, brain. Yellow, color on, control population., dark red, flow relative, on top, regional blood";"and dark red, blood flow relative, brain. Yellow colors, color on top"
"";"";""
"app, ctfs, dsp4, effect, shown, using, antibody, band, c-terminal";"DSP4 treatment, levels of, 1.31V software, 2.5-fold increase, Brain extracts, Densitometric analysis, Equal sample, ImageJ 1.31V, Western blotting, analyzed by";"Brain extracts were, Equal sample loading, ImageJ 1.31V software, analyzed by Western"
"";"apoptosis at";""
"hippocampal, hippocampus, found, studies, volumetric, volumetry, diagnosis, measurements, volume";"the hippocampus, compared to, memory function, is found, of the, volumetric measurements, found between, volumetric changes, Other studies, using volumetry";"10,11,12. When measuring, 11and sex. Because, Mild Cognitive Impairment, When measuring relative"
"3dem";"3DEM model, model of, of 50S.tRNA.hsp15";"3DEM model of, model of 50S.tRNA.hsp15"
"image, shows, spin-echo, t2-weighted, 1,500/30, 128, 13.7, 78-year-old, acquisition";"spin-echo image, 13.7 msec, 78-year-old woman, Voxel for, acquisition mode, and posterior, average of, been drawn, bitemporal volume, both hippocampi.";"78-year-old woman with, and posterior cingulate, been drawn on, bitemporal volume loss."
"aorta";"Image of, aorta under, of aorta, under pre-tension";"Image of aorta, aorta under pre-tension, of aorta under"
"cortex, 11c, 6-oh-bta-1, cerebellum, coronal, frontal, left, mouse., parietal";"6-OH-BTA-1 PET, CE cerebellum, FR frontal, PA parietal, PET slices, PO pons, ROIs on, ST striatum, TH thalamus, in transgenic";"6-OH-BTA-1 PET slices, PET slices in, ROIs on the, in transgenic mouse."
"regions, brain, data, frontal, inferior, lobes, 3-cm, 4-mm, along";"most inferior, of the, 3-cm deep, 4-mm voxels, Imaging artifacts, also compromise, artifacts may, at least, color scale, deep line";"3-cm deep line, 4-mm voxels with, Imaging artifacts may, artifacts may also"
"distribution, expression, 1180-1192., 1999, 48-hour-starved, al., body, christoffels, combination";"of GS, in the, 1180-1192. Figure, 48-hour-starved mouse, Christoffels et, Development and, Figure 2B, Gene Expression, Liver. HEPATOLOGY, Mechanistic Model";"1180-1192. Figure 2B, 48-hour-starved mouse injected, Christoffels et al., Development and Maintenance"
"images, analyzed, bar, confocal, control, fibrillar, immunofluorescence, indirect, laser-scanning";"Laser-scanning confocal, TauC3 mAbs, analyzed by, are shown, by indirect, control neurons, indirect immunofluorescence, neuron treated, of untreated, the merged";"analyzed by indirect, by indirect immunofluorescence, of untreated control, untreated control neurons"
"cps, expression, mrna, 1180-1192., 1999, al., christoffels, development, distributed";"CPS mRNA, 1180-1192. Figure, Christoffels et, Figure 8D, Gene Expression, Liver. HEPATOLOGY, Mechanistic Model, Model for, Portocentral Gradients, distributed homogeneously";"1180-1192. Figure 8D, Christoffels et al., Mechanistic Model for, expression is up-regulated"
"mitochondria, directed, cell, cells, movement, tau-stable, direction, nucleus, number";"both cell, is significantly, in both, organelles were, directed when, movement was, of mitochondria, number of, At least, Note that";"achieve an even, all three groups, altered by tau, an even distribution"
"11c, 6-oh-bta-1, cerebellum, coronal, cortex, frontal, images, mouse., pet";"6-OH-BTA-1 coronal, CE cerebellum, FR frontal, PET images, coronal PET, frontal cortex, images of, mouse. FR, of transgenic, transgenic mouse.";"6-OH-BTA-1 coronal PET, FR frontal cortex, PET images of, coronal PET images"
"older, adults, callosum, corpus, black, demented, nondemented, bars, diffusivity";"older adults, corpus callosum, and demented, demented older, of diffusivity, with mean, diffusivity in, gray diamonds, in the, Scatterplot of";"linear regression lines, regression lines apply, black linear regression, respectively to the"
"gfp";"gfp localisation, in roots, localisation in";"gfp localisation in, localisation in roots"
"blood, cerebral, volume, alzheimer, disease, regions, 112, 27.6, 83-year-old";"blood volume, cerebral blood, Cerebral blood, 83-year-old woman, Examination score, Mental State, Mini- Mental, Potential role, State Examination, are generally";"Mental State Examination, Mini- Mental State, State Examination score, are generally seen"
"plaque, process, appears, clump, processes, adjacent, another, approaches, around";"plaque it, Four examples, being deflected, bulbous outgrowths, cellular distortions, curvature near, dense-core plaques, examples of, goes around, high curvature";"Four examples of, bulbous outgrowths while, dense-core plaques labeled, examples of cellular"
"cortical, fibrillar, neurons, asp421, cultures, day-18, embryonic, immunoblotted, induces";"cortical neurons, of cortical, Primary cultures, and lysates, at Asp421, day-18 rats, embryonic day-18, from embryonic, induces tau, or PARP";"embryonic day-18 rats, from embryonic day-18, induces tau proteolysis, prepared from embryonic"
"";"";""
"expression, 1180-1192., 1999, al., central, christoffels, development, dexamethasone-treated, figure";"1180-1192. Figure, Christoffels et, Development and, Figure 9C, GRE/RPII mouse., Liver. HEPATOLOGY, Mechanistic Model, Model for, Portocentral Gradients, and Maintenance";"1180-1192. Figure 9C, Christoffels et al., Development and Maintenance, Mechanistic Model for"
"tau, vitro, 200, asp421, assembled, assembly, bar, electron, extent";"of tau, in vitro, Asp421 increases, Representative electron, and extent, at Asp421, by recombinant, electron micrographs, filament assembly, filaments assembled";"Asp421 increases the, Representative electron micrographs, at Asp421 increases, by recombinant WT"
