"string";"# total labels";"total labels";"# unique labels";"unique labels"
"['1256-1268.', '2002', 'al.', 'alpini', 'area', 'arrows', 'bile', 'biliary', 'duct.']";"4";"duct, area, bile, biliary";"4";"duct, area, bile, biliary"
"['plaque', 'composite', 'enamel', 'resin', '24-h', '4-h', '8-h', '600', 'confocal']";"4";"composite, enamel, resin, plaque";"4";"composite, enamel, resin, plaque"
"['alzheimer', 'cognition', 'cognitive', 'cortex', 'disease', 'entorhinal', 'erc', 'hippocampal', 'images.']";"4";"disease, cognition, cognitive, cognition";"4";"disease, cognition, cognitive, cognition"
"['cells', 'cell', 'cho', 'mitochondria', 'nocodazole', 'addition', 'antibodies', 'bar', 'cells.']";"4";"cell, cell, nocodazole, cell";"4";"cell, cell, nocodazole, cell"
"['cerebellar', 'senile', 'fibrillar', 'plaque', 'van', '1c7', 'a.m.', 'accumulation', 'annemieke']";"1";"plaque";"1";"plaque"
"['ductal', 'liver', 'portal', '18-week', '2002.', 'artery', 'biliary', 'center', 'ck-19.']";"7";"liver, artery, biliary, center, ductal, portal, week";"7";"liver, artery, biliary, center, ductal, portal, week"
"['symbols', 'due', 'half-filled', 'individuals', 'patients', 'pedigree', 'strokes', 'upper', 'a692g']";"4";"due, half, pedigree, upper";"4";"due, half, pedigree, upper"
"['amygdala-', 'atrophy', 'consequent', 'cortex', 'enlargement', 'enthorhinal', 'hippocampus-']";"4";"atrophy, amygdala, enlargement, hippocampus";"4";"atrophy, amygdala, enlargement, hippocampus"
"['fluorescence', 'images', 'probes', 'sps', '-amyloid', '6-dialkylamino-2-', 'agdeppa', 'alzheimer', 'andrej']";"1";"fluorescence";"1";"fluorescence"
"['cerebellar', 'senile', 'fibrillar', 'plaque', 'van', '2e9', 'a.m.', 'accumulation', 'annemieke']";"1";"plaque";"1";"plaque"
"['tau', 'assembly', 'filaments', 'measured', 'proteins', 'recombinant', 'truncated', '256', '421']";"4";"tau, assembly, assembly, measured";"4";"tau, assembly, assembly, measured"
"['atrophy']";"1";"atrophy";"1";"atrophy"
"['nuclear', 'cell.', 'cho', 'envelop', 'euchromatin', 'heterochromatin', 'mitochondria', 'nucleosome', 'pore']";"11";"cell, cell, nucleosome, euchromatin, heterochromatin, nuclear, pore, nucleosome, euchromatin, heterochromatin, cell";"11";"cell, cell, nucleosome, euchromatin, heterochromatin, nuclear, pore, nucleosome, euchromatin, heterochromatin, cell"
"['central']";"0";"";"0";""
"['aspergillus', 'conidia']";"1";"aspergillus";"1";"aspergillus"
"['brain', 'fluorescence', 'micrograph', 'mouse', 'ransgenic', 'section']";"6";"brain, section, fluorescence, section, mouse, section";"6";"brain, section, fluorescence, section, mouse, section"
"['50s', 'image']";"1";"image";"1";"image"
"['values', 'areas', 'brain', 'cerebellum', 'clearance', 'cortex', 'data', 'entry', 'frontal']";"4";"brain, data, cerebellum, entry";"4";"brain, data, cerebellum, entry"
"['image', 'images', '3d-ssp', '70-year-old', 'abnormal', 'arrow', 'arrows', 'atrophic', 'bilateral']";"5";"abnormal, bilateral, image, old, year";"5";"abnormal, bilateral, image, old, year"
"['fill']";"1";"fill";"1";"fill"
"['enlargement']";"1";"enlargement";"1";"enlargement"
"['images', 'coded', 'colour', 'arrow', 'column', 'green', 'level', 'light', 'longitudinal']";"6";"column, column, green, level, light, longitudinal";"6";"column, column, green, level, light, longitudinal"
"['alzheimer', 'percentage', 'perirhinal', '19.', 'cortex', 'specificity', '21-42', '22-24', '62-81']";"1";"percentage";"1";"percentage"
"['filaments', 'htau', 'dendrites', 'abc', 'dendrite', 'inset', 'mts', 'note', 'shown']";"3";"dendrite, note, dendrite";"3";"dendrite, note, dendrite"
"[]";"0";"";"0";""
"['kunga', 'panel', '-aggregate-specific', '-amyloid', '11c', '11c-labeled', 'agents', 'alan', 'alzheimer']";"1";"labeled";"1";"labeled"
"['apparatus', 'body', 'cell.', 'cho', 'golgi', 'mitochondria']";"5";"cell, apparatus, body, cell, cell";"5";"cell, apparatus, body, cell, cell"
"['brain', 'left', 'activation', 'control', 'gyrus', 'parahippocampal', 'volunteers', '.05', '15/7/1']";"4";"brain, activation, control, left";"4";"brain, activation, control, left"
"['liver', '18-week', '2002.', 'biliary', 'circumferential', 'ck-19', 'ck-19.', 'crawford.', 'developing']";"3";"liver, biliary, week";"3";"liver, biliary, week"
"[]";"0";"";"0";""
"['immunostained', 'indicated', 'plaques', '200', 'antibodies', 'antibody', 'apoe', 'arrowheads.', 'arrows.bars']";"1";"antibody";"1";"antibody"
"['cortex', 'decrease', 'entorhinal', 'perirhnal']";"0";"";"0";""
"['reference', '1998', '323-331.', 'adult', 'al.', 'arrows', 'biopsy', 'connective', 'containing']";"3";"adult, reference, biopsy";"3";"adult, reference, biopsy"
"['gfap', 'mac1', 'data', 'activation', 'activation.', 'area', 'assess', 'dsp4-treated', 'glial']";"4";"data, activation, activation, area";"3";"data, activation, area"
"['sulci', 'widening', 'alzheimer', 'anterior', 'atrophy', 'brain', 'calcarine', 'cingulate', 'csf']";"3";"brain, atrophy, anterior";"3";"brain, atrophy, anterior"
"['app', 'fragments', 'c-terminal', 'processing', '-sheets', 'amyloid', 'apps', 'c83', 'c99.']";"2";"processing, terminal";"2";"processing, terminal"
"['dynamitin', 'antibody', 'cells', 'mitochondria', 'tau-stable', 'transfected', '50-1', 'antidynamitin', 'arrowheads']";"3";"tau, antibody, stable";"3";"tau, antibody, stable"
"['alzheimer', 'brain', 'disease', 'mice', 'mri']";"2";"disease, brain";"2";"disease, brain"
"['significant', 'blood', 'brain.', 'color', 'colors', 'control', 'dark', 'decreases', 'flow']";"6";"brain, blood, color, control, flow, significant";"6";"brain, blood, color, control, flow, significant"
"[]";"0";"";"0";""
"['app', 'ctfs', 'dsp4', 'effect', 'shown', 'using', 'antibody', 'band', 'c-terminal']";"3";"antibody, effect, terminal";"3";"antibody, effect, terminal"
"[]";"0";"";"0";""
"['hippocampal', 'hippocampus', 'found', 'studies', 'volumetric', 'volumetry', 'diagnosis', 'measurements', 'volume']";"4";"diagnosis, volume, hippocampus, volume";"4";"diagnosis, volume, hippocampus, volume"
"['3dem']";"0";"";"0";""
"['image', 'shows', 'spin-echo', 't2-weighted', '1,500/30', '128', '13.7', '78-year-old', 'acquisition']";"4";"acquisition, image, old, year";"4";"acquisition, image, old, year"
"['aorta']";"1";"aorta";"1";"aorta"
"['cortex', '11c', '6-oh-bta-1', 'cerebellum', 'coronal', 'frontal', 'left', 'mouse.', 'parietal']";"4";"cerebellum, left, mouse, parietal";"4";"cerebellum, left, mouse, parietal"
"['regions', 'brain', 'data', 'frontal', 'inferior', 'lobes', '3-cm', '4-mm', 'along']";"3";"brain, data, inferior";"3";"brain, data, inferior"
"['distribution', 'expression', '1180-1192.', '1999', '48-hour-starved', 'al.', 'body', 'christoffels', 'combination']";"5";"body, combination, distribution, expression, hour";"5";"body, combination, distribution, expression, hour"
"['images', 'analyzed', 'bar', 'confocal', 'control', 'fibrillar', 'immunofluorescence', 'indirect', 'laser-scanning']";"3";"control, laser, indirect";"3";"control, laser, indirect"
"['cps', 'expression', 'mrna', '1180-1192.', '1999', 'al.', 'christoffels', 'development', 'distributed']";"3";"development, development, expression";"3";"development, development, expression"
"['mitochondria', 'directed', 'cell', 'cells', 'movement', 'tau-stable', 'direction', 'nucleus', 'number']";"10";"nucleus, number, tau, cell, direction, cell, movement, stable, cell, nucleus";"10";"nucleus, number, tau, cell, direction, cell, movement, stable, cell, nucleus"
"['11c', '6-oh-bta-1', 'cerebellum', 'coronal', 'cortex', 'frontal', 'images', 'mouse.', 'pet']";"2";"cerebellum, mouse";"2";"cerebellum, mouse"
"['older', 'adults', 'callosum', 'corpus', 'black', 'demented', 'nondemented', 'bars', 'diffusivity']";"1";"black";"1";"black"
"['gfp']";"0";"";"0";""
"['blood', 'cerebral', 'volume', 'alzheimer', 'disease', 'regions', '112', '27.6', '83-year-old']";"6";"disease, blood, volume, old, volume, year";"6";"disease, blood, volume, old, volume, year"
"['plaque', 'process', 'appears', 'clump', 'processes', 'adjacent', 'another', 'approaches', 'around']";"3";"adjacent, process, plaque";"3";"adjacent, process, plaque"
"['cortical', 'fibrillar', 'neurons', 'asp421', 'cultures', 'day-18', 'embryonic', 'immunoblotted', 'induces']";"2";"day, embryonic";"2";"day, embryonic"
"[]";"0";"";"0";""
"['expression', '1180-1192.', '1999', 'al.', 'central', 'christoffels', 'development', 'dexamethasone-treated', 'figure']";"4";"dexamethasone, development, development, expression";"4";"dexamethasone, development, development, expression"
"['tau', 'vitro', '200', 'asp421', 'assembled', 'assembly', 'bar', 'electron', 'extent']";"5";"tau, assembly, assembly, electron, extent";"5";"tau, assembly, assembly, electron, extent"
"['control', 'labeled', 'alexafluor594', 'bar', 'c57', 'cortical', 'dextran', 'differences', 'extent']";"3";"control, extent, labeled";"3";"control, extent, labeled"
"['nocodazole', 'reassembly', 'cells', 'clustering', 'microtubule', 'microtubules', 'removal', 'addition', 'bar']";"3";"microtubule, nocodazole, microtubule";"3";"microtubule, nocodazole, microtubule"
"['sections', 'plaques', 'dsp4', 'area', 'dsp4-treated', 'mice', 'months', 'number', 'plaque']";"3";"number, area, plaque";"3";"number, area, plaque"
"['cerebellar', 'senile', 'fibrillar', 'plaque', 'van', '10h4', 'a.m.', 'accumulation', 'annemieke']";"1";"plaque";"1";"plaque"
"['repeats', 'tau', 'cooh-terminal', 'domain', 'either', 'tau23', 'three', 'basic', 'contains']";"4";"domain, tau, terminal, three";"4";"domain, tau, terminal, three"
"['cell', 'cho', 'detailed', 'endoplasmic', 'free', 'mitochondria', 'nuclear', 'pore', 'rer']";"5";"cell, cell, nuclear, pore, cell";"5";"cell, cell, nuclear, pore, cell"
"['pib', 'left', '18fdg', 'images', 'retention', 'right', 'top', 'bottom', 'column']";"7";"bottom, column, column, left, retention, right, top";"7";"bottom, column, column, left, retention, right, top"
"['amyloid', 'control', 'differences', 'diffuse', 'distortions', 'extent', 'labeled', 'mice', 'mice.']";"4";"control, diffuse, extent, labeled";"4";"control, diffuse, extent, labeled"
"[]";"0";"";"0";""
"['asp421', 'bar', 'characteristic', 'compact', 'confocal', 'contain', 'filaments.', 'image', 'images']";"3";"characteristic, contain, image";"3";"characteristic, contain, image"
"['plaques', 'senile', 'cerebellar', 'glypican-1', 'mab', 'non-fibrillar', 'van', '6c6', 'a,c']";"1";"glypican";"1";"glypican"
"['rcmrglc', 'cerebral', 'cognitive', 'cortex', 'observed', 'parietal', 'pet', 'scan', 'symptoms']";"4";"scan, cognitive, observed, parietal";"4";"scan, cognitive, observed, parietal"
"['phjl401']";"0";"";"0";""
"['left', 'retention', '11c-pib', 'bottom', 'healthy', 'images', 'observed', 'pib', 'rcmrglc']";"4";"bottom, left, observed, retention";"4";"bottom, left, observed, retention"
"['bodies', 'brown', 'hirano', 'structures', 'actin', 'ad.', 'antibody', 'arrows', 'cortical']";"3";"actin, antibody, brown";"3";"actin, antibody, brown"
"['plaques', 'senile', '3g10', 'cerebellar', 'jm403', 'mab', 'van', '6c6', 'a,d']";"0";"";"0";""
"['cells', 'cos', 'data', 'dexamethason', 'marcel', 'schaaf']";"1";"data";"1";"data"
"['cells', 'mitochondria', 'abolishing', 'microtubule', 'mtoc', 'polarity', 'tau-stable', 'taxotere', 'treated']";"5";"tau, microtubule, polarity, stable, microtubule";"5";"tau, microtubule, polarity, stable, microtubule"
"['horn', 'temporal', 'enlargement', 'age', '/-8.47', '0.002', '14.16', 'account', 'ad3']";"3";"age, enlargement, temporal";"3";"age, enlargement, temporal"
"['cognitive', 'ad33', 'ad33.wmh', 'appear', 'area', 'brain.wmh', 'common', 'due', 'flair']";"5";"brain, area, cognitive, common, due";"5";"brain, area, cognitive, common, due"
"['common', 'duct', '1211', '1218.', '2007', 'al.', 'anatomy', 'bile', 'bosch']";"3";"duct, bile, common";"3";"duct, bile, common"
"['200kev', '50s']";"0";"";"0";""
"['bodies', 'apical', 'autophagy', 'blue', 'bottle', 'bounded', 'calliphora', 'cell', 'early']";"9";"cell, apical, bottle, autophagy, blue, cell, early, autophagy, cell";"9";"cell, apical, bottle, autophagy, blue, cell, early, autophagy, cell"
"['portal', 'reference', '1998', '323-331.', 'adult', 'al.', 'artery', 'bile', 'biopsy']";"6";"artery, adult, bile, reference, biopsy, portal";"6";"artery, adult, bile, reference, biopsy, portal"
"['regions', 'bilateral', 'also', 'female', 'healthy', 'occipital', 'parietal', 'patient', 'patients.']";"4";"bilateral, patient, female, parietal";"4";"bilateral, patient, female, parietal"
"['caps', 'frontal', 'pvh', 'wmh', 'occipital', 'parietal', 'patient', 'bodies', 'confirmed']";"2";"patient, parietal";"2";"patient, parietal"
"['patient', 'shown', 'decreased', 'figure', 'hippocampal', 'measurement', 'shows', 't1-weighted', 'volume']";"4";"patient, volume, measurement, volume";"4";"patient, volume, measurement, volume"
"['mutations', 'app', 'frequently', '-encoding', '//www.molgen.ua.ac.be/admutations/', 'accompanied', 'also', 'amyloid', 'assed']";"2";"be, frequently";"2";"be, frequently"
"['expression', '1180-1192.', '1999', 'al.', 'central', 'christoffels', 'development', 'figure', 'gene']";"4";"gene, development, development, expression";"4";"gene, development, development, expression"
"['neurons', 'asp421', 'bars', 'cortical', 'proteolysis', 'tau', '-induced', 'apoptosis', 'apoptosis.']";"7";"apoptosis, apoptosis, proteolysis, tau, apoptosis, apoptosis, proteolysis";"5";"apoptosis, proteolysis, tau, apoptosis, proteolysis"
"['portal', 'reference', '1998', '323-331.', 'adult', 'al.', 'artery', 'biopsy', 'crawford']";"5";"artery, adult, reference, biopsy, portal";"5";"artery, adult, reference, biopsy, portal"
"['sulcus', 'temporal', 'region', 'superior', 'banks', 'scan', 'along', 'angle', 'bank']";"6";"angle, bank, scan, region, superior, temporal";"6";"angle, bank, scan, region, superior, temporal"
"['older', 'adults', 'callosum', 'corpus', 'black', 'demented', 'nondemented', 'anisotropy', 'bars']";"2";"anisotropy, black";"2";"anisotropy, black"
"['peptides', '-amyloid', 'abnormal', 'aging', 'become', 'brain', 'cells', 'chaperone', 'clustered']";"5";"brain, abnormal, aging, chaperone, aging";"5";"brain, abnormal, aging, chaperone, aging"
"['lobe', 'matter', 'white', 'callosum', 'corpus', 'anisotropy', 'anterior', 'demarcation', 'examples']";"5";"anisotropy, anterior, white, lobe, white";"5";"anisotropy, anterior, white, lobe, white"
"['500', 'bar', 'counting.', 'interest', 'plaque', 'regions', 'represents']";"2";"interest, plaque";"2";"interest, plaque"
"['cells', 'mitochondria', 'addition', 'differentiated', 'neurites', 'tau-stable', '0.1', 'acid', 'antibodies']";"3";"acid, tau, stable";"3";"acid, tau, stable"
"['cell', 'random", 'amoeboid', 'ax2', 'body', 'dictyostelium', 'discoideum', 'extensions', 'extrusion']"";"6";"cell, body, cell, extrusion, random, cell";"6";"cell, body, cell, extrusion, random, cell"
"['cell']";"3";"cell, cell, cell";"3";"cell, cell, cell"
"['reference', '1998', '323-331.', 'adult', 'al.', 'artery.', 'bd1', 'bile', 'biopsy']";"5";"artery, adult, bile, reference, biopsy";"5";"artery, adult, bile, reference, biopsy"
"['portal', 'reference', '1998', '323-331.', 'adult', 'al.', 'bd1', 'bile', 'biopsy']";"5";"adult, bile, reference, biopsy, portal";"5";"adult, bile, reference, biopsy, portal"
"['1180-1192.', '1999', 'adult', 'al.', 'christoffels', 'cps', 'development', 'distribution', 'expression']";"5";"adult, development, development, distribution, expression";"5";"adult, development, development, distribution, expression"
"['mrna', 'distribution', 'fed', '1180-1192.', '1999', '2.1-fold', 'adult', 'al.', 'christoffels']";"2";"adult, distribution";"2";"adult, distribution"
"['amyloid', 'ad.', 'frankfurt', 'analysis', 'autopsy', 'braak', 'brains', 'cortical', 'courtesy']";"2";"analysis, autopsy";"2";"analysis, autopsy"
"['binding', 'brain', 'control', 'cortex', 'matter', 'sections', 'displaceable', 'pib', 'white']";"6";"brain, binding, control, white, white, binding";"6";"brain, binding, control, white, white, binding"
"['ftsi-gfp']";"0";"";"0";""
"['commissure', '0.001', '1988', '3.09', 'anisotropy', 'anterior', 'axial', 'bar', 'basis.']";"5";"anisotropy, anterior, axial, basis, commissure";"5";"anisotropy, anterior, axial, basis, commissure"
"['expression', 'liver', 'pericentral', '1153-1159.', '1996', 'al.', 'cytochemistry', 'dehydrogenase', 'digital']";"4";"liver, cytochemistry, digital, expression";"4";"liver, cytochemistry, digital, expression"
"['cells', 'tau-stable', 'control', 'expansion', 'neuroblastoma', 'nucleus', 'antibodies', 'araformaldehyde', 'arrowheads']";"7";"neuroblastoma, nucleus, neuroblastoma, tau, control, stable, nucleus";"7";"neuroblastoma, nucleus, neuroblastoma, tau, control, stable, nucleus"
"[]";"0";"";"0";""
"['region', 'atrophic', 'frontal']";"1";"region";"1";"region"
"['1h-mrsi', 'color', 'signal', 'slice', '7.5', 'compared', 'data', 'displayed', 'intensity']";"5";"data, color, signal, intensity, slice";"5";"data, color, signal, intensity, slice"
"['image', 'panels', 'spin-echo', 'corresponding', 'gradient-echo', 'centered', 'cortex', 'magnified', 'parent']";"3";"image, parent, gradient";"3";"image, parent, gradient"
"['b-catenin', 'expression', 'glutamine', 'al.', 'central', 'hepatocytes', 'nuclear', 'synthetase', 'used']";"3";"expression, glutamine, nuclear";"3";"expression, glutamine, nuclear"
"['patient', 'subject', 'control', 'mci', 'appearance', 'compared', 'horn', 'larger', 'lateral']";"5";"appearance, patient, control, subject, lateral";"5";"appearance, patient, control, subject, lateral"
"['entorhinal', 'cortex', 'sulcus', 'brain', 'region', 'surface', 'level', 'outline', 'rhinal']";"4";"brain, region, surface, level";"4";"brain, region, surface, level"
"[]";"0";"";"0";""
"['group', 'comparison', 'coronal', 'csad', 'right', 'significant', ',and', '28mm', '3-way-glass']";"7";"group, and, comparison, glass, glass, right, significant";"7";"group, and, comparison, glass, glass, right, significant"
"[]";"0";"";"0";""
"['cells']";"0";"";"0";""
"['biliary', 'tree', '0.62-1', '1256-1268.', '2-mm', '2002', 'al.', 'alpini', 'around']";"1";"biliary";"1";"biliary"
"['left', 'brain', 'camcog', 'mm.', 'patient', 'right', 'score', '29.', '3.5']";"5";"brain, score, patient, left, right";"5";"brain, score, patient, left, right"
"['pib', 'pet', '11c', 'alzheimer', 'areas', 'chet', 'compared', 'compound', 'control']";"2";"compound, control";"2";"compound, control"
"['centrally', 'liver', 'located', 'portal', '18-week', '2002.', 'artery', 'bile', 'biliary']";"6";"liver, artery, bile, biliary, portal, week";"6";"liver, artery, bile, biliary, portal, week"
"['closed', 'abscissa', 'dash', 'diameter', 'maximum', 'measured', 'median', 'minimum', 'noted']";"6";"closed, diameter, maximum, measured, median, minimum";"6";"closed, diameter, maximum, measured, median, minimum"
"['expression', 'liver', 'pericentral', '1153-1159.', '1996', 'al.', 'cytochemistry', 'dehydrogenase', 'digital']";"4";"liver, cytochemistry, digital, expression";"4";"liver, cytochemistry, digital, expression"
"['hippocampus', 'category', 'female', 'image', 'atrophic', '71-year-old', '73-year-old', '75-year-old', 'arrows']";"10";"category, female, image, hippocampus, old, old, old, year, year, year";"6";"category, female, image, hippocampus, old, year"
"[]";"0";"";"0";""
