"string";"# total labels";"total labels";"# unique labels";"unique labels"
"Coronal unenhanced baseline (left) and  coregistered year 2 follow-up (middle) T1-weighted MR images (35/9; flip angle, 60Â°; matrix, 256x192; thickness, 1.2 mm) and normalized difference displayed with narrower 20% signal intensity window to enable visualization of brain tissue loss within the boundary
region (right). Rectangles are location of the medial temporal lobe (MTL) region. Coronal sections through foot of the hippocampus are shown for three representative study participants. Top: Images in a 72-year-old man
who remained healthy at year 6.4 after baseline; annualMTLatrophy rate was 0.2%. Middle: Images in a 70-yearold woman who remained healthy at year 2 and declined to mild cognitive impairment (MCI) by year 6; annualMTL atrophy rate was 0.8%. Bottom: Images in a 77-year-old man with normal findings at baseline who declined toAD by year 2; annualMTLatrophy rate was 1.3%. (Reprinted, with permission, from reference 95.)";"72";"brain, matrix, tissue, location, atrophy, temporal lobe, foot, and, and, and, angle, study, are, are, at, at, at, baseline, baseline, baseline, reference, bottom, thickness, rate, rate, rate, cognitive, region, region, difference, flip angle, follow, follow-up, for, from, hippocampus, signal, impairment, intensity, left, lobe, loss, man, man, matrix, medial, middle, middle, mild, normal, old, old, right, temporal, three, to, to, top, window, window, with, with, with, within, woman, year, year, year, year, year, year, year";"50";"brain, matrix, tissue, location, atrophy, temporal lobe, foot, and, angle, study, are, at, baseline, reference, bottom, thickness, rate, cognitive, region, difference, flip angle, follow, follow-up, for, from, hippocampus, signal, impairment, intensity, left, lobe, loss, man, matrix, medial, middle, mild, normal, old, right, temporal, three, to, top, window, window, with, within, woman, year"
"Decreased BFP in Alzheimer's disease. This is marked with the blue color.";"7";"disease, alzheimer's disease, alzheimer's disease, color, blue, marked, with";"7";"disease, alzheimer's disease, alzheimer's disease, color, blue, marked, with"
"AâD, Definition of auxiliary guideline traces on selected sagittal T1-weighted threedimensional
spoiled gradient-echoMRsections (repetition time msec/echo time msec, 24/5; section thickness, 1.5 mm; flip angle, 40Â°; two signals acquired; field of view, 26x26x18.6 cm; matrix, 256x192x124). EâN, Definition of hippocampal traces on selected coronalMRsections from most rostral (E) to most caudal (N) aspects of the structure (right hemisphere). O, Three-dimensional reconstruction of hippocampal shape based on coronal traces.";"33";"acquired, matrix, angle, guideline, field of view, shape, time, time, thickness, caudal, section, definition, definition, definition, definition, field, flip angle, from, section, gradient, view, echo time, repetition time, matrix, most, most, right, rostral, section, structure, three, to, two";"29";"acquired, matrix, angle, guideline, field of view, shape, time, thickness, caudal, section, definition, definition, field, flip angle, from, section, gradient, view, echo time, repetition time, matrix, most, right, rostral, section, structure, three, to, two"
"Colocalization of cross-link and pathological tau proteins. Single- and double-label immunofluorescence for tau and cross-link antibodies is shown in images generated by scanning-laser confocal microscopy of orbital frontal cortex from AD brain. 
PHF tau immunolabeling is represented by the color green with conformation-dependent tau antibody MC1 (A) and phosphorylation-dependent tau antibody AT8 (B).
Cross-link immunofluorescence using antibody 81D4 (against the Îµ-(Î³-glutamyl)lysine cross-link is represented by the color red (A and B).
Examples of single-label tau immunolabeling are indicated by open arrowheads. Single-label cross-link immunolabeling is indicated by filled
arrowheads. Colocalization of tau and cross-link immunoreactivity is represented by the color yellow and are illustrated in examples marked with
arrows. The white calibration bars in the lower-left corner of each image indicate a distance of 20 Âµm. 

Confocal colocalization of tau protein with
transglutaminase-catalyzed Îµ-(Î³-glutamyl)lysine cross-links in orbital frontal cortex from AD brain is shown in (CâF). Tau immunolabeling
appears green and illustrates the immunofluorescence of antibodies MC1 (C and D) and AT8 (E and F) Cross-link immunolabeling using antibody 81D4 appears red in (CâF). Confocal colocalization (within an optical section of 0.8 um) is indicated by yellow-orange colors. 
The white calibration bars in the lower-right corner of each image indicate a distance of 5 Âµm.

(Referentie: Transglutaminase bonds in neurofibrillary tangles and paired helical filament tau early in Alzheimerâs disease --
Steven M. Singer, Gina M. Zainelli, Maryam A. Norlund, John M. Lee, Nancy A. Muma)";"104";"disease, brain, brain, tau, tau, tau, tau, tau, tau, tau, tau, tau, tau, against, and, and, and, and, and, and, and, and, and, and, and, and, antibody, antibody, antibody, antibody, are, are, protein, microscopy, orange, color, color, color, calibration, calibration, confocal microscopy, conformation, cross, cross, cross, cross, cross, cross, cross, cross, section, image, image, distance, distance, double, double, double, laser, each, each, early, white, white, for, from, from, section, green, green, label, label, label, left, lower, lower, lower, lower, lysine, lysine, marked, of each, of each, open, orange, red, red, right, section, single, single, single, transglutaminase, transglutaminase, white, white, with, with, with, within, yellow, yellow, protein, phosphorylation";"49";"disease, brain, tau, against, and, antibody, are, protein, microscopy, orange, color, calibration, confocal microscopy, conformation, cross, section, image, distance, double, double, double, laser, each, early, white, for, from, section, green, label, left, lower, lower, lysine, marked, of each, open, orange, red, right, section, single, transglutaminase, white, with, within, yellow, protein, phosphorylation"
"A, Segmented MRI showing frontal (F), parietal (P), temporal (T), or occipital (O) lobe. WM, GM, and CSF were rendered with different colors; B, Transaxial NAA images; C, A sagittal scout MRI indicating slice positions; D, A contour plot
showing alignment of MRI and MRSI.";"10";"alignment, and, and, contour, lobe, or, parietal, slice, temporal, with";"9";"alignment, and, contour, lobe, or, parietal, slice, temporal, with"
"Diffuse cerebral atrophy increases with the progress of clinical stage of Alzheimer patients. Atrophy should be looked at relative to what is normal, correct for head size, age5, and some studies also correct for gender, however Mu et al5 found no differences in gender. Although global cerebral atrophy is found in Alzheimer patients 1,7, some parts of the brain are affected worse than other parts, especially the medial temporal lobe area is affected8. Atrophy can be found in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe. Atrophy in these areas results in enlargement of the temporal horn.";"49";"brain, affected, atrophy, atrophy, atrophy, atrophy, atrophy, temporal lobe, temporal lobe, amygdala, relative, and, and, and, are, area, at, be, be, head, can, clinical, correct, correct, stage, diffuse, enlargement, size, for, for, gender, gender, global, lobe, lobe, stage, medial, no, normal, other, progress, some, some, temporal, temporal, temporal, to, with, worse";"34";"brain, affected, atrophy, temporal lobe, amygdala, relative, and, are, area, at, be, head, can, clinical, correct, stage, diffuse, enlargement, size, for, gender, global, lobe, stage, medial, no, normal, other, progress, some, temporal, to, with, worse"
"The differences in PIB retention between Alzheimerâs disease (AD) patients and healthy control (HC) subjects can be quantified
and are statistically significant. Shown is the accumulation of PIB and rCMRglc in selected regions. Average PIB standardized uptake value (SUV) values were summed over 40 to 60 minutes in cortical areas (A) or white matter areas (B) and compared with cerebellum. Values for 18FDG uptake were calculated with the Gjedde-Patlak method in cortical areas (C) or white matter areas (D) and compared with cerebellum. The mean and one SD are indicated with the error bars beside the individual points. HC subjects: circles; n 9; filled circles represent the three young HC subjects; boxed circle represents the outlier in the HC group (oldest subject). AD patients: triangles; n 15 (SUV) or n 16 (FDG); open triangles represent the three outliers in the
AD group. AD mean and SD values include all 15 (SUV) or 16 (18FDG) AD subjects; p0.01 (*); p 	 0.002 (**); p 0.0002 (***).";"56";"disease, group, group, all, value, and, and, and, and, and, and, and, cerebellum, cerebellum, are, are, average, be, between, white matter, white matter, can, circle, method, control, error, white, white, for, mean, mean, healthy control, include, subject, one, open, or, or, or, or, outlier, over, retention, significant, standardized uptake value, three, three, to, uptake, uptake, white, white, with, with, with, with";"35";"disease, group, all, value, and, cerebellum, are, average, be, between, white matter, can, circle, method, control, error, white, for, mean, healthy control, include, subject, one, open, or, outlier, over, retention, significant, standardized uptake value, three, to, uptake, white, with"
"Example of mI and NAA images and RCMS from
MRSI voxel in the regions of parietal GM in a 66-year-old AD and an 85-year-old CN.";"11";"and, and, and, example, from, old, old, parietal, voxel, year, year";"7";"and, example, from, old, parietal, voxel, year"
"Representative group axial activation maps (t . 3.5) for the visually guided saccade paradigm through the SEF (1), FEF (2), IPS (3), and PFC (4). The activation is displayed as a hot iron color scale (bottom right) where red is the lowest t threshold and yellow is the peak t value. The activation is displayed over group structural images to show the degree of blurring from biological anatomic variation. A relates to patients with pAD and B to control volunteers.";"33";"activation, activation, activation, group, group, value, anatomic, and, and, and, as, axial, biological, color, bottom, scale, iron, control, for, from, hot, lowest, over, peak, variation, red, right, threshold, to, to, to, with, yellow";"26";"activation, group, value, anatomic, and, as, axial, biological, color, bottom, scale, iron, control, for, from, hot, lowest, over, peak, variation, red, right, threshold, to, with, yellow"
"Serial planes demonstrate the topography of PIB retention. Axial (top two rows) and sagittal (bottom two rows) standardized uptake value (SUV) PIB images of the subjects shown in Figure 4. The healthy control subject data are shown in rows 1 and 3. The Alzheimerâs disease patient data are shown in rows 2 and 4. The reference region, the cerebellum, can best be appreciated in the images at the far right. The cerebellar peduncles (white matter) show some nonspecific retention, but the cerebellar cortex shows negligible retention. Scale bar indicates relative levels of PIB SUV values.";"41";"disease, data, data, value, relative, and, and, and, cerebellum, are, are, at, axial, be, best, reference, bottom, white matter, can, patient, scale, cerebellar cortex, region, control, white, healthy control, subject, nonspecific, reference region, retention, retention, retention, right, some, standardized uptake value, top, topography, two, two, uptake, white";"34";"disease, data, value, relative, and, cerebellum, are, at, axial, be, best, reference, bottom, white matter, can, patient, scale, cerebellar cortex, region, control, white, healthy control, subject, nonspecific, reference region, retention, right, some, standardized uptake value, top, topography, two, uptake, white"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3F:
Portal tract with two hepatic arteries. (G) Magnification x1,000.";"15";"human, liver, adult, reference, reference, biopsy, standard, quantitative, hepatic, liver biopsy, normal, portal, standard, two, with";"14";"human, liver, adult, reference, biopsy, standard, quantitative, hepatic, liver biopsy, normal, portal, standard, two, with"
"LSM image of Ab and ApoE deposits. ApoE and Ab were recognized in the core region of SP (arrow), but they did not show complete overlap. Colors represents the same immunoreactivity as Fig. 3. b: serial planes at intervals of 1.5 mm. c: overlay image recomposed by every 0.5 mm planes. ApoE deposit was distributed around the outside of Ab deposit (big arrow). Two SPs were mainly represented by ApoE (small arrows). One SP was mainly represented by Ab (arrowhead). d: rotation images of the deposits (30, 60, 90. Discrepancy of distribution of Ab and ApoE can be observed from each viewpoint. Bars=25 Âµm.";"25";"deposit, deposit, and, and, and, as, at, be, can, region, complete, core, image, image, distribution, each, every, fig, from, observed, one, overlap, same, small, two";"21";"deposit, and, as, at, be, can, region, complete, core, image, distribution, each, every, fig, from, observed, one, overlap, same, small, two"
"FtsZ-GFP KF41";"0";"";"0";""
"B, Enhancement of probe fluorescence
and resultant binding data with A(1â40) fibrils. Solventcorrected emission spectra of the following: a, 1.2 nM FDDNP in PBS, pH 7.4, added to 10 g/ml A(1â40) fibrils; b, 1.2 nM FDDNP in PBS, pH 7.4; c, 1.2 nM FENE in PBS, pH 7.4, added to 10 g/ml A(1â40) fibrils; and d, 1.2 nM FENE in PBS, pH 7.4. 
C, D, Scatchard plots of FDDNP and FENE binding to 10 g/ml A(1â40) fibrils, as determined by fluorescence titrations; B/F/[A peptide] is the ratio of moles of bound probe to moles of free probe per molar A(1â40) peptide; [Bound FDDNP] and
[Bound FENE] are the molar concentrations of bound FDDNP and FENE, respectively. Fluorescence titrations were performed in triplicate.

(Referentie: Binding Characteristics of Radiofluorinated 6-Dialkylamino-2-
Naphthylethylidene Derivatives as Positron Emission Tomography Imaging Probes for -Amyloid Plaques in Alzheimerâs Disease -- Eric D. Agdeppa, Vladimir Kepe, Jie Liu, Samuel Flores-Torres, Nagichettiar Satyamurthy, Andrej Petric,Greg M. Cole, Gary W. Small, Sung-Cheng Huang, and Jorge R. Barrio)";"50";"disease, data, added, added, peptide, peptide, and, and, and, and, and, and, are, as, as, binding, binding, binding, bound, bound, bound, bound, positron emission tomography, ratio, emission, emission, fluorescence, fluorescence, fluorescence, for, probe, probe, probe, ph, ph, ph, ph, per, performed, positron, small, to, to, to, to, tomography, with, binding, binding, binding";"24";"disease, data, added, peptide, and, are, as, binding, bound, positron emission tomography, ratio, emission, fluorescence, for, probe, ph, per, performed, positron, small, to, tomography, with, binding"
"Three-way correlation in a 26-month-old mouse with Alzheimerâs disease (AD). Panels A, C, and E are full field of view (FOV), and panels B, D, and F illustrate a magnified subsampled area centered on the hippocampus of the parent image to its left. The numbered arrows point to identical spatial coordinate positions in the common space of the three spatially registered volumes (in vivo, ex vivo, histological) using a linked cursor system. Spatially matched in vivo (A, B), ex vivo (C, D), and histological sections (E, F) conclusively demonstrate that the dark areas seen in vivo do indeed represent plaques. (E) Scale bar = 500 um. (F) Scale bar = 200 um. Plaque sharpness in vivo approaches but is clearly inferior to that obtained on ex vivo magnetic resonance microimaging (MRMI).";"43";"disease, and, and, and, and, are, area, field of view, scale, scale, common, coordinate, correlation, image, do, ex vivo, ex vivo, ex vivo, parent, field, full, hippocampus, identical, view, inferior, left, month, mouse, system, old, plaque, point, space, three, three, to, to, to, with, in vivo, in vivo, in vivo, in vivo";"31";"disease, and, are, area, field of view, scale, common, coordinate, correlation, image, do, ex vivo, parent, field, full, hippocampus, identical, view, inferior, left, month, mouse, system, old, plaque, point, space, three, to, with, in vivo"
"Significant correlations between decreased regional blood flow and severity of disease as measured by the decrease in Mini-Mental State Examination score. Significant results are overlaid in color on top of a surface rendering of the brain. Yellow colors are the most significant and dark red are the least significant.";"27";"disease, brain, and, and, are, are, are, as, blood, score, between, color, state, severity, flow, surface, measured, most, red, regional, significant, significant, significant, significant, state, top, yellow";"21";"disease, brain, and, are, as, blood, score, between, color, state, severity, flow, surface, measured, most, red, regional, significant, state, top, yellow"
"Neuronal process from PDAPP mice that pass through diffuse amyloid show no significant distortions. 
Scalebar = 25 ?m.";"6";"process, diffuse, from, no, pass, significant";"6";"process, diffuse, from, no, pass, significant"
"This is just to test....";"2";"test, to";"2";"test, to"
"Reference:
Crawford. Development of the Intrahepatic Biliary Tree. Seminars in Liver Disease, volume 22, number 3, 2002.

Figure 5F:
Immunohistochemistry of the developing liver, stained for CK-19. 22-week fetus, with a tubular bile duct with a CK-19âpositive ductular tether to the CK-19âpositive ductal plate. 
Magnification x200.";"26";"disease, liver disease, fetus, liver, liver, number, duct, plate, bile, bile duct, biliary, reference, development, volume, development, ductal, for, intrahepatic, positive, positive, volume, to, tubular, week, with, with";"23";"disease, liver disease, fetus, liver, number, duct, plate, bile, bile duct, biliary, reference, development, volume, development, ductal, for, intrahepatic, positive, volume, to, tubular, week, with"
"Confocal laser scanning microscopic images (xz-views) of the plaque formed on resin composite and human enamel surfaces at the 4-, 8- and 24-h periods. (Magnification ?600) (a) 4-h plaque on resin composite, (b) 8-h plaque on resin composite, (c) 24-h plaque on resin composite, (d) 4-h plaque on enamel, (e) 8-h plaque on enamel and (f) 24-h plaque on enamel.";"26";"human, and, and, and, at, composite, composite, composite, composite, laser, enamel, enamel, enamel, enamel, resin, resin, resin, resin, microscopic, plaque, plaque, plaque, plaque, plaque, plaque, plaque";"9";"human, and, at, composite, laser, enamel, resin, microscopic, plaque"
"Reference:
Crawford. Development of the Intrahepatic Biliary Tree. Seminars in Liver Disease, volume 22, number 3, 2002.

Figure 5E: 
Immunohistochemistry of the developing liver, stained for CK-19. Term infant, with a mature bile duct within the portal tract and a CK-19âpositive peripheral bile ductule. 
Magnification x40.";"26";"disease, liver disease, liver, liver, number, duct, and, bile, bile, bile duct, biliary, reference, development, volume, development, for, term, infant, intrahepatic, peripheral, portal, positive, volume, term, with, within";"24";"disease, liver disease, liver, number, duct, and, bile, bile duct, biliary, reference, development, volume, development, for, term, infant, intrahepatic, peripheral, portal, positive, volume, term, with, within"
"Animation of a rat, made with the CVP";"2";"rat, with";"2";"rat, with"
"Reference:
Gebhart et al. Hepatocellular expression of glutamine synthetase: An indicator of morphogen actions as master regulators of zonation in adult liver. Progress in Histochemistry and Cytochemistry 41 (2007) 201â266

Figure 10A. 
Section of mouse liver subjected to adenoviral-mediated expression of a dominant stable mutant of b-catenin immunohistochemically stained for b-catenin. In the periportal region, hepatocytes intensively staining for b-catenin at plasma
membranes, in the cytoplasm and in the nuclei indicating high expression of the mutated for of
b-catenin. Hepatocytes in the midzonal area rarely show such staining, while pericentral
hepatocytes show only the normal weak membranous staining for b-catenin. 
For details of the mice used herein see Harada et al. (2002). PV, portal vein; CV, central vein
(magnification: x60).";"50";"liver, liver, cytoplasm, indicator, adult, and, and, vein, vein, area, as, at, plasma, reference, histochemistry, central vein, region, section, cytochemistry, details, dominant, expression, expression, expression, for, for, for, for, for, section, glutamine, hepatocellular, high, mouse liver, mouse, mutant, normal, portal, portal vein, progress, rarely, section, see, stable, staining, staining, staining, to, weak, cytoplasm";"39";"liver, cytoplasm, indicator, adult, and, vein, area, as, at, plasma, reference, histochemistry, central vein, region, section, cytochemistry, details, dominant, expression, for, section, glutamine, hepatocellular, high, mouse liver, mouse, mutant, normal, portal, portal vein, progress, rarely, section, see, stable, staining, to, weak, cytoplasm"
